,Date,Auto Vehicles,Auto Financing,Automotive Industry,Auto Insurance,Vehicle Brands,Vehicle Shopping,Computers & Electronics,Consumer Electronics,Home Appliances,Home Financing,Home Furnishing,Home & Garden,Home Improvement,Home Insurance,Homemaking & Interior Decor,Book retailers,Arts & Entertainment,Entertainment Industry,Movies,Computer & Video Games,Mobile & Wireless,Internet & Telecom
0,2004-01,91,87,77,89,94,83,100,88,94,86,100,90,90,89,96,100,97,99,95,99,80,100
1,2004-02,94,95,86,85,96,84,96,75,84,87,93,90,87,90,80,69,97,100,93,95,83,98
2,2004-03,92,98,78,80,96,86,90,76,83,100,90,91,91,88,73,63,96,80,89,87,76,90
3,2004-04,96,97,79,86,99,85,93,73,83,93,89,97,92,89,69,64,97,69,95,83,78,97
4,2004-05,93,95,72,85,91,90,86,74,81,84,85,97,89,88,69,60,93,65,87,87,78,91
5,2004-06,94,81,68,91,92,84,89,75,81,86,87,98,92,91,68,65,89,62,91,85,83,94
6,2004-07,98,100,64,98,98,90,87,75,89,86,96,100,94,95,80,64,92,74,91,89,84,98
7,2004-08,96,92,65,100,94,86,94,76,85,86,97,97,91,93,79,70,91,68,91,89,87,99
8,2004-09,86,88,67,88,86,79,87,73,81,77,88,91,85,87,81,66,88,65,82,81,82,97
9,2004-10,81,83,66,81,85,75,83,73,82,71,84,83,84,88,70,62,92,59,91,84,78,92
10,2004-11,78,81,66,74,81,73,85,86,91,71,95,86,80,79,79,62,90,61,91,96,81,92
11,2004-12,81,84,59,78,85,72,90,98,100,67,93,90,81,80,82,75,100,60,91,100,89,100
12,2005-01,79,86,66,85,82,79,85,81,84,79,95,87,86,86,87,65,94,81,89,85,82,97
13,2005-02,83,88,72,81,89,77,82,71,82,83,87,85,87,89,84,60,96,100,87,73,80,94
14,2005-03,92,93,74,83,86,81,80,70,79,80,83,81,83,83,74,49,92,64,89,78,77,90
15,2005-04,85,89,72,76,86,79,71,66,76,78,78,90,86,86,67,57,92,55,87,76,74,87
16,2005-05,83,83,78,79,86,76,75,71,77,83,77,88,83,84,69,54,97,60,92,79,76,90
17,2005-06,87,88,63,86,85,79,74,70,76,97,76,90,90,89,67,54,87,56,84,77,83,92
18,2005-07,100,96,63,86,94,86,72,73,82,88,86,93,93,96,71,60,91,65,91,85,84,93
19,2005-08,93,100,72,92,97,100,79,74,84,96,90,98,93,100,79,64,92,61,89,80,93,100
20,2005-09,80,84,56,84,81,81,70,70,75,75,77,82,86,89,70,55,91,62,77,70,81,95
21,2005-10,77,70,71,73,78,71,71,68,78,72,78,83,84,95,71,48,90,55,85,76,75,99
22,2005-11,73,76,76,68,74,66,72,86,84,67,81,81,81,85,73,52,91,54,84,85,76,85
23,2005-12,74,74,64,71,79,67,79,100,93,65,81,82,83,89,77,80,97,62,100,92,89,94
24,2006-01,74,87,80,78,80,71,73,77,78,78,86,84,84,92,100,62,93,77,86,72,85,90
25,2006-02,77,84,66,73,77,71,70,65,73,75,79,82,78,90,80,47,91,76,83,71,81,92
26,2006-03,76,91,67,77,78,74,67,63,70,78,76,80,78,87,68,45,88,77,81,70,76,86
27,2006-04,79,90,66,72,81,82,61,60,68,77,67,85,82,96,65,42,88,54,81,71,76,83
28,2006-05,77,84,54,74,80,74,59,57,68,77,70,79,80,91,61,47,87,51,77,68,76,79
29,2006-06,81,90,50,81,78,77,62,63,68,77,72,86,81,99,65,47,88,50,81,76,85,87
30,2006-07,92,99,53,85,86,89,65,67,79,79,80,88,92,99,69,47,86,57,87,80,86,87
31,2006-08,83,96,51,86,85,81,66,65,75,80,78,83,83,91,73,62,89,60,82,75,85,96
32,2006-09,71,80,61,73,76,72,62,60,71,68,74,77,77,79,68,56,84,49,76,67,80,91
33,2006-10,70,79,50,72,71,66,62,61,72,69,79,76,77,90,64,45,86,48,83,72,76,85
34,2006-11,67,72,47,67,68,62,64,78,81,63,76,77,73,87,66,46,88,46,80,89,75,83
35,2006-12,64,74,45,67,67,61,67,91,85,64,73,73,71,85,70,67,93,50,87,96,82,94
36,2007-01,70,88,51,75,68,68,61,65,77,79,78,76,75,80,81,57,82,73,80,76,82,86
37,2007-02,69,85,57,71,69,69,60,58,70,74,77,74,72,85,72,45,94,84,78,71,77,84
38,2007-03,72,87,50,72,71,70,58,55,65,80,71,75,74,80,61,43,85,48,79,69,72,81
39,2007-04,76,91,52,68,73,75,56,58,63,79,70,76,75,84,60,43,86,46,74,71,74,81
40,2007-05,67,83,49,72,74,72,53,54,66,68,64,72,74,74,55,43,82,41,72,70,70,78
41,2007-06,70,81,46,69,67,66,54,56,64,71,61,74,72,78,54,44,80,44,72,73,83,81
